Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Observe,Days,Price,TFARCH,TFBS,BS_L,BS_U,ARCH_L,ARCH_U
2021-08-06,0,2021,8,6,Friday,323410,카카오뱅크,53700.0,69800.0,51000.0,69800.0,False,,,,,,,,,
2021-08-09,1,2021,8,9,Monday,323410,카카오뱅크,69800.0,89100.0,69000.0,78500.0,False,,,,,,,,,
2021-08-10,2,2021,8,10,Tuesday,323410,카카오뱅크,81800.0,85600.0,68000.0,71400.0,False,,,,,,,,,
2021-08-11,3,2021,8,11,Wednesday,323410,카카오뱅크,71200.0,77500.0,68100.0,74400.0,False,,,,,,,,,
2021-08-12,4,2021,8,12,Thursday,323410,카카오뱅크,73600.0,75400.0,72700.0,73800.0,False,,,,,,,,,
2021-08-13,5,2021,8,13,Friday,323410,카카오뱅크,73500.0,78600.0,73500.0,76600.0,False,,,,,,,,,
2021-08-16,6,2021,8,16,Monday,323410,카카오뱅크,78100.0,88300.0,77500.0,87400.0,False,,,,,,,,,
2021-08-17,7,2021,8,17,Tuesday,323410,카카오뱅크,78100.0,88300.0,77500.0,87400.0,False,,,,,,,,,
2021-08-18,8,2021,8,18,Wednesday,323410,카카오뱅크,89600.0,94400.0,83800.0,84500.0,False,,,,,,,,,
2021-08-19,9,2021,8,19,Thursday,323410,카카오뱅크,87300.0,92300.0,86400.0,92000.0,False,,,,,,,,,
2021-08-20,10,2021,8,20,Friday,323410,카카오뱅크,92800.0,94000.0,88600.0,91000.0,False,,,,,,,,,
2021-08-23,11,2021,8,23,Monday,323410,카카오뱅크,91900.0,92800.0,87900.0,89800.0,False,,,,,,,,,
2021-08-24,12,2021,8,24,Tuesday,323410,카카오뱅크,90000.0,90000.0,84700.0,85400.0,False,,,,,,,,,
2021-08-25,13,2021,8,25,Wednesday,323410,카카오뱅크,84500.0,84600.0,81500.0,82100.0,False,,,,,,,,,
2021-08-26,14,2021,8,26,Thursday,323410,카카오뱅크,83400.0,85300.0,82100.0,83400.0,False,,,,,,,,,
2021-08-27,15,2021,8,27,Friday,323410,카카오뱅크,82500.0,84400.0,82500.0,83800.0,False,,,,,,,,,
2021-08-30,16,2021,8,30,Monday,323410,카카오뱅크,84000.0,84300.0,81600.0,81900.0,False,,,,,,,,,
2021-08-31,17,2021,8,31,Tuesday,323410,카카오뱅크,81000.0,83900.0,80900.0,83900.0,False,,,,,,,,,
2021-09-01,18,2021,9,1,Wednesday,323410,카카오뱅크,83800.0,88900.0,82900.0,88800.0,False,,,,,,,,,
2021-09-02,19,2021,9,2,Thursday,323410,카카오뱅크,81800.0,83600.0,81000.0,81900.0,False,,,,,,,,,
2021-09-03,20,2021,9,3,Friday,323410,카카오뱅크,82900.0,83000.0,80200.0,80800.0,False,,,,,,,,,
2021-09-06,21,2021,9,6,Monday,323410,카카오뱅크,77000.0,78400.0,76000.0,77400.0,False,,,,,,,,,
2021-09-07,22,2021,9,7,Tuesday,323410,카카오뱅크,77300.0,77300.0,72600.0,73000.0,False,,,,,,,,,
2021-09-08,23,2021,9,8,Wednesday,323410,카카오뱅크,73400.0,75800.0,71400.0,72300.0,False,,,,,,,,,
2021-09-09,24,2021,9,9,Thursday,323410,카카오뱅크,71300.0,73000.0,70300.0,72000.0,False,,,,,,,,,
2021-09-10,25,2021,9,10,Friday,323410,카카오뱅크,71000.0,72400.0,68100.0,68900.0,False,,,,,,,,,
2021-09-13,26,2021,9,13,Monday,323410,카카오뱅크,67800.0,67800.0,64500.0,64600.0,False,,,,,,,,,
2021-09-14,27,2021,9,14,Tuesday,323410,카카오뱅크,63600.0,72300.0,63300.0,69700.0,False,,,,,,,,,
2021-09-15,28,2021,9,15,Wednesday,323410,카카오뱅크,70100.0,73200.0,69000.0,69000.0,False,,,,,,,,,
2021-09-16,29,2021,9,16,Thursday,323410,카카오뱅크,69900.0,70000.0,66700.0,67100.0,False,,,,,,,,,
2021-09-17,30,2021,9,17,Friday,323410,카카오뱅크,67100.0,68600.0,65000.0,68000.0,False,,,,,,,,,
2021-09-20,31,2021,9,20,Monday,323410,카카오뱅크,66900.0,67200.0,66200.0,66400.0,False,,,,,,,,,
2021-09-21,32,2021,9,21,Tuesday,323410,카카오뱅크,66900.0,67200.0,66200.0,66400.0,False,,,,,,,,,
2021-09-22,33,2021,9,22,Wednesday,323410,카카오뱅크,66900.0,67200.0,66200.0,66400.0,False,,,,,,,,,
2021-09-23,34,2021,9,23,Thursday,323410,카카오뱅크,66900.0,67200.0,66200.0,66400.0,False,,,,,,,,,
2021-09-24,35,2021,9,24,Friday,323410,카카오뱅크,67100.0,69500.0,67000.0,69000.0,False,,,,,,,,,
2021-09-27,36,2021,9,27,Monday,323410,카카오뱅크,69000.0,69700.0,67500.0,69700.0,False,,,,,,,,,
2021-09-28,37,2021,9,28,Tuesday,323410,카카오뱅크,70100.0,71200.0,69300.0,70600.0,False,,,,,,,,,
2021-09-29,38,2021,9,29,Wednesday,323410,카카오뱅크,69300.0,69800.0,68300.0,69300.0,False,,,,,,,,,
2021-09-30,39,2021,9,30,Thursday,323410,카카오뱅크,69000.0,69200.0,68000.0,68400.0,False,,,,,,,,,
2021-10-01,40,2021,10,1,Friday,323410,카카오뱅크,67800.0,67900.0,65500.0,65500.0,False,,,,,,,,,
2021-10-04,41,2021,10,4,Monday,323410,카카오뱅크,63600.0,64400.0,59800.0,60000.0,False,,,,,,,,,
2021-10-05,42,2021,10,5,Tuesday,323410,카카오뱅크,63600.0,64400.0,59800.0,60000.0,False,,,,,,,,,
2021-10-06,43,2021,10,6,Wednesday,323410,카카오뱅크,60200.0,60900.0,57100.0,58000.0,False,,,,,,,,,
2021-10-07,44,2021,10,7,Thursday,323410,카카오뱅크,58200.0,60400.0,58200.0,60000.0,False,,,,,,,,,
2021-10-08,45,2021,10,8,Friday,323410,카카오뱅크,60100.0,60100.0,57000.0,57000.0,False,,,,,,,,,
2021-10-11,46,2021,10,11,Monday,323410,카카오뱅크,55800.0,56300.0,54100.0,55300.0,False,,,,,,,,,
2021-10-12,47,2021,10,12,Tuesday,323410,카카오뱅크,55800.0,56300.0,54100.0,55300.0,False,,,,,,,,,
2021-10-13,48,2021,10,13,Wednesday,323410,카카오뱅크,55200.0,56900.0,55200.0,55900.0,False,,,,,,,,,
2021-10-14,49,2021,10,14,Thursday,323410,카카오뱅크,56200.0,59000.0,56100.0,59000.0,False,,,,,,,,,
2021-10-15,50,2021,10,15,Friday,323410,카카오뱅크,60300.0,60600.0,58100.0,60100.0,False,,,,,,,,,
2021-10-18,51,2021,10,18,Monday,323410,카카오뱅크,60500.0,60600.0,58800.0,60000.0,False,,,,,,,,,
2021-10-19,52,2021,10,19,Tuesday,323410,카카오뱅크,60500.0,61800.0,60000.0,61300.0,False,,,,,,,,,
2021-10-20,53,2021,10,20,Wednesday,323410,카카오뱅크,61300.0,62800.0,59300.0,59700.0,False,,,,,,,,,
2021-10-21,54,2021,10,21,Thursday,323410,카카오뱅크,60100.0,60800.0,59900.0,60200.0,False,,,,,,,,,
2021-10-22,55,2021,10,22,Friday,323410,카카오뱅크,60300.0,60800.0,59900.0,60100.0,False,,,,,,,,,
2021-10-25,56,2021,10,25,Monday,323410,카카오뱅크,60300.0,60400.0,58900.0,59900.0,False,,,,,,,,,
2021-10-26,57,2021,10,26,Tuesday,323410,카카오뱅크,60300.0,61900.0,59900.0,61900.0,False,,,,,,,,,
2021-10-27,58,2021,10,27,Wednesday,323410,카카오뱅크,61900.0,62800.0,61100.0,62000.0,False,,,,,,,,,
2021-10-28,59,2021,10,28,Thursday,323410,카카오뱅크,62300.0,65600.0,62100.0,64600.0,False,,,,,,,,,
2021-10-29,60,2021,10,29,Friday,323410,카카오뱅크,64800.0,65200.0,62600.0,63100.0,False,,,,,,,,,
2021-11-01,61,2021,11,1,Monday,323410,카카오뱅크,63300.0,64400.0,63000.0,63900.0,False,,,,,,,,,
2021-11-02,62,2021,11,2,Tuesday,323410,카카오뱅크,64200.0,64500.0,64000.0,64100.0,False,,,,,,,,,
2021-11-03,63,2021,11,3,Wednesday,323410,카카오뱅크,64100.0,64100.0,59100.0,59400.0,False,,,,,,,,,
2021-11-04,64,2021,11,4,Thursday,323410,카카오뱅크,59800.0,60700.0,59400.0,60000.0,False,,,,,,,,,
2021-11-05,65,2021,11,5,Friday,323410,카카오뱅크,58900.0,59000.0,57100.0,57200.0,False,,,,,,,,,
2021-11-08,66,2021,11,8,Monday,323410,카카오뱅크,52600.0,55900.0,52600.0,55600.0,False,,,,,,,,,
2021-11-09,67,2021,11,9,Tuesday,323410,카카오뱅크,55700.0,58200.0,55700.0,57000.0,False,,,,,,,,,
2021-11-10,68,2021,11,10,Wednesday,323410,카카오뱅크,56100.0,58700.0,56100.0,58600.0,False,,,,,,,,,
2021-11-11,69,2021,11,11,Thursday,323410,카카오뱅크,58400.0,59300.0,58000.0,59100.0,False,,,,,,,,,
2021-11-12,70,2021,11,12,Friday,323410,카카오뱅크,59100.0,62200.0,58700.0,62100.0,False,,,,,,,,,
2021-11-15,71,2021,11,15,Monday,323410,카카오뱅크,62300.0,63000.0,61000.0,62400.0,False,,,,,,,,,
2021-11-16,72,2021,11,16,Tuesday,323410,카카오뱅크,62400.0,62500.0,61100.0,62500.0,False,,,,,,,,,
2021-11-17,73,2021,11,17,Wednesday,323410,카카오뱅크,62600.0,63400.0,62000.0,63100.0,False,,,,,,,,,
2021-11-18,74,2021,11,18,Thursday,323410,카카오뱅크,63200.0,64600.0,63000.0,64500.0,False,,,,,,,,,
2021-11-19,75,2021,11,19,Friday,323410,카카오뱅크,64600.0,65000.0,63400.0,65000.0,False,,,,,,,,,
2021-11-22,76,2021,11,22,Monday,323410,카카오뱅크,65000.0,65000.0,62500.0,64000.0,False,,,,,,,,,
2021-11-23,77,2021,11,23,Tuesday,323410,카카오뱅크,63600.0,65300.0,63400.0,64900.0,False,,,,,,,,,
2021-11-24,78,2021,11,24,Wednesday,323410,카카오뱅크,65100.0,65600.0,64000.0,64700.0,False,,,,,,,,,
2021-11-25,79,2021,11,25,Thursday,323410,카카오뱅크,65000.0,68000.0,64500.0,67900.0,False,,,,,,,,,
2021-11-26,80,2021,11,26,Friday,323410,카카오뱅크,68500.0,69300.0,66400.0,68200.0,False,,,,,,,,,
