Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Observe,Days,Price,TFARCH,TFBS,BS_L,BS_U,ARCH_L,ARCH_U
2024-05-08,0,2024,5,8,Wednesday,443060,HD현대마린솔루션,119900.0,166100.0,111500.0,163900.0,False,,,,,,,,,
2024-05-09,1,2024,5,9,Thursday,443060,HD현대마린솔루션,170200.0,195000.0,152300.0,152300.0,False,,,,,,,,,
2024-05-10,2,2024,5,10,Friday,443060,HD현대마린솔루션,152100.0,180600.0,145600.0,180600.0,False,,,,,,,,,
2024-05-13,3,2024,5,13,Monday,443060,HD현대마린솔루션,180600.0,199200.0,175400.0,193400.0,False,,,,,,,,,
2024-05-14,4,2024,5,14,Tuesday,443060,HD현대마린솔루션,192400.0,207500.0,185400.0,205500.0,False,,,,,,,,,
2024-05-15,5,2024,5,15,Wednesday,443060,HD현대마린솔루션,202000.0,205500.0,193800.0,198600.0,False,,,,,,,,,
2024-05-16,6,2024,5,16,Thursday,443060,HD현대마린솔루션,202000.0,205500.0,193800.0,198600.0,False,,,,,,,,,
2024-05-17,7,2024,5,17,Friday,443060,HD현대마린솔루션,197400.0,201000.0,190200.0,196300.0,False,,,,,,,,,
2024-05-20,8,2024,5,20,Monday,443060,HD현대마린솔루션,194100.0,196300.0,164600.0,165000.0,False,,,,,,,,,
2024-05-21,9,2024,5,21,Tuesday,443060,HD현대마린솔루션,165600.0,173100.0,155400.0,166000.0,False,,,,,,,,,
2024-05-22,10,2024,5,22,Wednesday,443060,HD현대마린솔루션,164100.0,169900.0,159000.0,160100.0,False,,,,,,,,,
2024-05-23,11,2024,5,23,Thursday,443060,HD현대마린솔루션,159000.0,159900.0,148500.0,149700.0,False,,,,,,,,,
2024-05-24,12,2024,5,24,Friday,443060,HD현대마린솔루션,147700.0,157600.0,147500.0,148500.0,False,,,,,,,,,
2024-05-27,13,2024,5,27,Monday,443060,HD현대마린솔루션,150200.0,152700.0,135300.0,137000.0,False,,,,,,,,,
2024-05-28,14,2024,5,28,Tuesday,443060,HD현대마린솔루션,136800.0,141500.0,132100.0,134300.0,False,,,,,,,,,
2024-05-29,15,2024,5,29,Wednesday,443060,HD현대마린솔루션,134000.0,134900.0,126000.0,126200.0,False,,,,,,,,,
2024-05-30,16,2024,5,30,Thursday,443060,HD현대마린솔루션,125900.0,142000.0,125000.0,130400.0,False,,,,,,,,,
2024-05-31,17,2024,5,31,Friday,443060,HD현대마린솔루션,131400.0,135600.0,127200.0,131000.0,False,,,,,,,,,
2024-06-03,18,2024,6,3,Monday,443060,HD현대마린솔루션,133500.0,136700.0,131300.0,132000.0,False,,,,,,,,,
2024-06-04,19,2024,6,4,Tuesday,443060,HD현대마린솔루션,133400.0,146700.0,130300.0,143000.0,False,,,,,,,,,
2024-06-05,20,2024,6,5,Wednesday,443060,HD현대마린솔루션,142500.0,149100.0,139200.0,142800.0,False,,,,,,,,,
2024-06-06,21,2024,6,6,Thursday,443060,HD현대마린솔루션,141600.0,145300.0,131500.0,131500.0,False,,,,,,,,,
2024-06-07,22,2024,6,7,Friday,443060,HD현대마린솔루션,141600.0,145300.0,131500.0,131500.0,False,,,,,,,,,
2024-06-10,23,2024,6,10,Monday,443060,HD현대마린솔루션,129300.0,142200.0,127200.0,136700.0,False,,,,,,,,,
2024-06-11,24,2024,6,11,Tuesday,443060,HD현대마린솔루션,136900.0,140800.0,132500.0,137000.0,False,,,,,,,,,
2024-06-12,25,2024,6,12,Wednesday,443060,HD현대마린솔루션,139000.0,147400.0,138200.0,145200.0,False,,,,,,,,,
2024-06-13,26,2024,6,13,Thursday,443060,HD현대마린솔루션,145200.0,156300.0,142500.0,149700.0,False,,,,,,,,,
2024-06-14,27,2024,6,14,Friday,443060,HD현대마린솔루션,150800.0,160000.0,149500.0,158000.0,False,,,,,,,,,
2024-06-17,28,2024,6,17,Monday,443060,HD현대마린솔루션,156100.0,159000.0,148600.0,149400.0,False,,,,,,,,,
2024-06-18,29,2024,6,18,Tuesday,443060,HD현대마린솔루션,149300.0,150900.0,141300.0,144300.0,False,,,,,,,,,
2024-06-19,30,2024,6,19,Wednesday,443060,HD현대마린솔루션,144800.0,151500.0,142500.0,143100.0,False,,,,,,,,,
2024-06-20,31,2024,6,20,Thursday,443060,HD현대마린솔루션,144400.0,147700.0,142900.0,143500.0,False,,,,,,,,,
2024-06-21,32,2024,6,21,Friday,443060,HD현대마린솔루션,143400.0,143500.0,138000.0,138000.0,False,,,,,,,,,
2024-06-24,33,2024,6,24,Monday,443060,HD현대마린솔루션,138500.0,142500.0,136000.0,138700.0,False,,,,,,,,,
2024-06-25,34,2024,6,25,Tuesday,443060,HD현대마린솔루션,138700.0,142700.0,137500.0,138700.0,False,,,,,,,,,
2024-06-26,35,2024,6,26,Wednesday,443060,HD현대마린솔루션,140500.0,141100.0,133900.0,134300.0,False,,,,,,,,,
2024-06-27,36,2024,6,27,Thursday,443060,HD현대마린솔루션,133800.0,133800.0,129500.0,129600.0,False,,,,,,,,,
2024-06-28,37,2024,6,28,Friday,443060,HD현대마린솔루션,129900.0,131500.0,129400.0,130000.0,False,,,,,,,,,
2024-07-01,38,2024,7,1,Monday,443060,HD현대마린솔루션,131100.0,134000.0,126100.0,126600.0,False,,,,,,,,,
2024-07-02,39,2024,7,2,Tuesday,443060,HD현대마린솔루션,126600.0,127900.0,117800.0,118000.0,False,,,,,,,,,
2024-07-03,40,2024,7,3,Wednesday,443060,HD현대마린솔루션,119300.0,122900.0,113600.0,122300.0,False,,,,,,,,,
2024-07-04,41,2024,7,4,Thursday,443060,HD현대마린솔루션,113000.0,125900.0,111500.0,118200.0,False,,,,,,,,,
2024-07-05,42,2024,7,5,Friday,443060,HD현대마린솔루션,119600.0,121400.0,117000.0,117900.0,False,,,,,,,,,
2024-07-08,43,2024,7,8,Monday,443060,HD현대마린솔루션,118000.0,123000.0,118000.0,119600.0,False,,,,,,,,,
2024-07-09,44,2024,7,9,Tuesday,443060,HD현대마린솔루션,120100.0,121000.0,117100.0,117500.0,False,,,,,,,,,
2024-07-10,45,2024,7,10,Wednesday,443060,HD현대마린솔루션,118300.0,119400.0,116800.0,116900.0,False,,,,,,,,,
2024-07-11,46,2024,7,11,Thursday,443060,HD현대마린솔루션,117500.0,118400.0,116000.0,118300.0,False,,,,,,,,,
2024-07-12,47,2024,7,12,Friday,443060,HD현대마린솔루션,118500.0,124800.0,117000.0,123400.0,False,,,,,,,,,
