Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Conf,Observe,Days,Price,BS_L,TFARCH,TFBS,BS_U,ARCH_L,ARCH_U
2021-08-06,0,2021,8,6,Friday,323410,카카오뱅크,53700.0,69800.0,51000.0,69800.0,False,0.99,,,,,,,,,
2021-08-09,1,2021,8,9,Monday,323410,카카오뱅크,69800.0,89100.0,69000.0,78500.0,False,0.99,,,,,,,,,
2021-08-10,2,2021,8,10,Tuesday,323410,카카오뱅크,81800.0,85600.0,68000.0,71400.0,False,0.99,,,,,,,,,
2021-08-11,3,2021,8,11,Wednesday,323410,카카오뱅크,71200.0,77500.0,68100.0,74400.0,False,0.99,,,,,,,,,
2021-08-12,4,2021,8,12,Thursday,323410,카카오뱅크,73600.0,75400.0,72700.0,73800.0,False,0.99,,,,,,,,,
2021-08-13,5,2021,8,13,Friday,323410,카카오뱅크,73500.0,78600.0,73500.0,76600.0,False,0.99,,,,,,,,,
2021-08-16,6,2021,8,16,Monday,323410,카카오뱅크,78100.0,88300.0,77500.0,87400.0,False,0.99,,,,,,,,,
2021-08-17,7,2021,8,17,Tuesday,323410,카카오뱅크,78100.0,88300.0,77500.0,87400.0,False,0.99,,,,,,,,,
2021-08-18,8,2021,8,18,Wednesday,323410,카카오뱅크,89600.0,94400.0,83800.0,84500.0,False,0.99,,,,,,,,,
2021-08-19,9,2021,8,19,Thursday,323410,카카오뱅크,87300.0,92300.0,86400.0,92000.0,False,0.99,,,,,,,,,
2021-08-20,10,2021,8,20,Friday,323410,카카오뱅크,92800.0,94000.0,88600.0,91000.0,False,0.99,,,,,,,,,
2021-08-23,11,2021,8,23,Monday,323410,카카오뱅크,91900.0,92800.0,87900.0,89800.0,False,0.99,,,,,,,,,
2021-08-24,12,2021,8,24,Tuesday,323410,카카오뱅크,90000.0,90000.0,84700.0,85400.0,False,0.99,,,,,,,,,
2021-08-25,13,2021,8,25,Wednesday,323410,카카오뱅크,84500.0,84600.0,81500.0,82100.0,False,0.99,,,,,,,,,
2021-08-26,14,2021,8,26,Thursday,323410,카카오뱅크,83400.0,85300.0,82100.0,83400.0,False,0.99,,,,,,,,,
2021-08-27,15,2021,8,27,Friday,323410,카카오뱅크,82500.0,84400.0,82500.0,83800.0,False,0.99,,,,,,,,,
2021-08-30,16,2021,8,30,Monday,323410,카카오뱅크,84000.0,84300.0,81600.0,81900.0,False,0.99,,,,,,,,,
2021-08-31,17,2021,8,31,Tuesday,323410,카카오뱅크,81000.0,83900.0,80900.0,83900.0,False,0.99,,,,,,,,,
2021-09-01,18,2021,9,1,Wednesday,323410,카카오뱅크,83800.0,88900.0,82900.0,88800.0,False,0.99,,,,,,,,,
2021-09-02,19,2021,9,2,Thursday,323410,카카오뱅크,81800.0,83600.0,81000.0,81900.0,False,0.99,,,,,,,,,
2021-09-03,20,2021,9,3,Friday,323410,카카오뱅크,82900.0,83000.0,80200.0,80800.0,False,0.99,,,,,,,,,
2021-09-06,21,2021,9,6,Monday,323410,카카오뱅크,77000.0,78400.0,76000.0,77400.0,False,0.99,,,,,,,,,
2021-09-07,22,2021,9,7,Tuesday,323410,카카오뱅크,77300.0,77300.0,72600.0,73000.0,False,0.99,,,,,,,,,
2021-09-08,23,2021,9,8,Wednesday,323410,카카오뱅크,73400.0,75800.0,71400.0,72300.0,False,0.99,,,,,,,,,
2021-09-09,24,2021,9,9,Thursday,323410,카카오뱅크,71300.0,73000.0,70300.0,72000.0,False,0.99,,,,,,,,,
2021-09-10,25,2021,9,10,Friday,323410,카카오뱅크,71000.0,72400.0,68100.0,68900.0,False,0.99,,,,,,,,,
2021-09-13,26,2021,9,13,Monday,323410,카카오뱅크,67800.0,67800.0,64500.0,64600.0,False,0.99,,,,,,,,,
2021-09-14,27,2021,9,14,Tuesday,323410,카카오뱅크,63600.0,72300.0,63300.0,69700.0,False,0.99,,,,,,,,,
2021-09-15,28,2021,9,15,Wednesday,323410,카카오뱅크,70100.0,73200.0,69000.0,69000.0,False,0.99,,,,,,,,,
2021-09-16,29,2021,9,16,Thursday,323410,카카오뱅크,69900.0,70000.0,66700.0,67100.0,False,0.99,,,,,,,,,
2021-09-17,30,2021,9,17,Friday,323410,카카오뱅크,67100.0,68600.0,65000.0,68000.0,False,0.99,,,,,,,,,
2021-09-20,31,2021,9,20,Monday,323410,카카오뱅크,66900.0,67200.0,66200.0,66400.0,False,0.99,,,,,,,,,
2021-09-21,32,2021,9,21,Tuesday,323410,카카오뱅크,66900.0,67200.0,66200.0,66400.0,False,0.99,,,,,,,,,
